book_id,count
38729,707
216737,581
71056,487
32497,383
7378,320
125415,313
21423,307
94175,295
87704,281
104344,278
38642,272
133573,269
145506,256
38892,243
170437,242
158581,236
43377,230
62376,229
33527,226
23216,226
7481,218
133284,217
87388,214
91531,214
86640,208
132740,207
93623,206
84767,206
87757,200
44188,200
70557,200
45198,195
86654,194
174978,194
83921,189
8358,186
217207,183
43951,181
93882,177
86761,174
38221,171
87548,169
33868,167
86435,166
5529,166
18466,165
43507,164
69822,163
43425,161
7609,159
38919,159
5421,158
8429,156
190896,155
7717,154
62105,153
87116,152
92795,152
66173,151
87665,150
135715,150
87077,146
62141,145
86737,145
62342,145
62318,144
87292,143
42705,143
84142,141
87173,140
104373,139
7912,138
45927,138
87122,138
70751,138
84163,137
43755,136
149001,136
176452,134
222541,134
61870,134
8747,134
37736,133
84143,133
87337,133
149049,132
43426,131
93711,131
18263,131
70619,130
21353,129
34012,129
71232,129
157973,127
66172,126
83920,126
148229,125
93827,124
38602,120
121672,120
71064,120
95478,120
125414,119
8887,118
145199,118
181824,117
7063,117
92213,116
68927,115
37349,113
18534,113
11532,113
35955,112
175247,112
132634,112
71144,111
96665,111
84164,110
93992,109
78924,108
143603,107
71047,107
165972,106
147172,106
86694,105
10546,105
109039,105
231013,104
64971,104
94023,104
36781,103
118618,102
15623,101
86991,101
103015,101
87286,101
170517,100
63200,100
43706,100
8444,99
166070,99
87363,98
175002,98
148171,98
44387,98
93759,98
66423,98
81830,98
44567,97
129862,97
44917,97
8384,97
122294,96
217141,95
222519,95
36728,95
87603,95
45777,95
134045,95
133983,94
22011,94
8445,94
119874,94
158871,94
81785,94
33623,94
174942,93
133575,93
44642,92
103100,92
230897,92
37239,92
93954,92
45756,92
118220,92
87767,92
37529,91
12286,91
87668,90
145172,90
94117,90
133418,90
94039,90
78248,90
44575,90
70942,90
117236,89
109091,89
69841,89
93900,89
93324,89
71088,89
64886,89
157828,88
21412,88
82530,88
44446,88
89445,87
99582,87
13747,86
190902,86
12509,86
93637,85
36938,85
82740,84
132781,84
175116,84
10313,83
61945,83
43683,83
86058,83
118641,83
43427,83
17878,83
38952,82
133831,82
100176,81
95430,81
81677,81
88677,81
70983,81
93393,81
64461,80
45130,80
18497,80
94416,80
86631,80
39251,79
44916,79
103708,79
4203,78
196302,78
37083,78
20858,78
39252,78
44733,78
119367,77
8945,77
90532,77
1769,77
89321,77
93674,77
43428,77
148352,77
118039,76
88339,76
34515,76
109062,76
118491,75
99260,75
90190,75
5392,75
133419,75
132337,74
71120,74
98073,74
165909,74
117649,74
43637,74
77200,74
169900,74
93589,73
32877,73
63433,73
61957,73
82055,73
39860,72
92907,72
44754,72
70457,72
10328,72
34491,72
93817,72
82087,72
122293,72
90812,72
82834,71
82220,71
86832,70
37383,70
44386,70
99674,70
170653,70
222578,70
158870,70
99776,70
117245,70
7448,69
93946,69
166080,69
21534,69
139553,69
45143,69
173362,69
157776,69
82318,69
118593,68
21424,68
93599,68
37497,68
46006,68
99891,68
11269,68
69855,68
99593,68
104391,68
132761,67
70711,67
144757,67
62073,67
175128,67
7165,67
38926,67
7891,67
87575,66
222553,66
17741,66
95429,66
108941,65
39158,65
93297,65
122128,65
170400,65
118291,65
113164,65
133021,65
71217,65
100916,65
38979,65
133571,65
82000,64
145297,64
205926,64
64460,63
93847,63
81942,63
103877,63
45691,63
61985,63
108882,63
121765,63
71115,63
180824,63
67650,63
132476,63
134004,62
38947,62
241744,62
144874,62
158583,62
132500,62
46340,62
122096,62
60155,61
108940,61
